1;João Silva;12345678900;86999887766;2;101;A
2;Maria Santos;98765432100;86988776655;0;102;A
3;Pedro Oliveira;11122233344;86977665544;1;103;A
4;Ana Costa;22233344455;86966554433;3;201;A
5;Carlos Souza;33344455566;86955443322;0;202;A
6;Juliana Lima;44455566677;86944332211;1;203;A
7;Roberto Alves;55566677788;86933221100;2;301;A
8;Fernanda Rocha;66677788899;86922110099;0;302;A
9;Lucas Martins;77788899900;86911009988;1;101;B
10;Camila Pereira;88899900011;86900998877;2;102;B
11;Ricardo Ferreira;99900011122;86999887755;0;103;B
12;Patrícia Gomes;10011122233;86988776644;1;201;B
13;Daniel Barbosa;11122233355;86977665533;3;202;B
14;Mariana Cardoso;12233344466;86966554422;0;203;B
15;Felipe Araújo;13344455577;86955443311;2;301;B
16;Beatriz Melo;14455566688;86944332200;1;302;B
17;Gustavo Dias;15566677799;86933221199;0;101;C
18;Larissa Nunes;16677788800;86922110088;2;102;C
19;Thiago Correia;17788899911;86911009977;1;103;C
20;Vanessa Castro;18899900022;86900998866;0;201;C
21;jose;123;987;2;101;A
